sample_index,child_age_months,child_sex,mother_age,mother_education_level,mother_years_education,mother_currently_working,marital_status,religion,wealth_quintile,urban_rural,county,drinking_water_source,toilet_facility,has_electricity,cooking_fuel,household_members,predicted_probability,actual_label
148,0.22695403,-0.079834454,-0.1243154,0.1806402,0.7321172,0.051532254,-0.0049224943,-0.028701115,0.054109804,0.023980375,0.04208722,-0.09476778,0.020153688,0.07718298,0.05085045,-0.010959005,0.75408167,0
536,-0.26599556,-0.10556899,0.15966736,0.009185446,-0.031523228,-0.039896745,0.011769309,-0.07393277,0.25641072,-0.035998,-0.071911134,0.059816703,-0.038598716,0.020147854,-0.072441615,0.011987898,0.44954997,0
581,-0.74233174,0.13606371,0.09897853,-0.14021185,-0.47877118,-0.03931575,0.0062802657,-0.010745711,-0.6906485,-0.04772532,-0.27638626,-0.035498857,0.118377,-0.08850241,0.103283286,0.18041559,0.12984312,0
344,-0.4242891,-0.12630656,0.20666218,-0.0066501102,-0.18724653,-0.057426725,-0.0020469797,-0.061606586,0.07830023,0.0013770859,0.41092107,-0.028344335,-0.024957381,0.05235851,0.017330471,0.008020268,0.46517837,0
714,0.06000007,-0.0317168,0.14134632,-0.018153623,-0.48065573,0.13706197,0.01555345,-0.021323428,-0.31182778,0.00475175,0.027844846,-0.16098112,-0.11113184,-0.14257932,-0.02631991,-0.10249717,0.2657612,0
248,-0.71213603,0.17250896,-0.073078796,0.11969134,0.46325418,0.068585165,-0.0033004563,0.0063151475,0.14252757,-0.009735997,-0.48586142,0.036556747,0.012143528,0.00877716,0.047961302,-0.011605379,0.44694924,1
533,0.2988159,0.09052518,0.09725959,-0.2868173,-0.52086306,-0.083043054,0.014374009,-0.009922249,-0.67450124,-0.0017102184,0.23580809,-0.048427016,-0.12577103,-0.02562355,-0.09598969,-0.002510706,0.2434229,1
306,0.3088644,0.15671268,-0.21357624,-0.08296446,-0.37109882,0.05703299,-0.06264144,0.05079825,0.29195192,0.015971504,-0.5290096,-0.03555151,-0.09655827,0.011636306,0.02798216,-0.11893297,0.357785,0
192,-0.14515364,-0.051127803,0.2035469,-0.099617,-0.3673864,0.048164427,0.008777249,-0.024781961,-0.42200208,-0.028225752,-0.2134042,0.056590233,-0.06163182,-0.061502352,-0.067023784,-0.08527565,0.21321388,1
299,0.58845824,0.056315508,0.03766101,0.10400836,0.6904019,0.06329105,0.008086775,0.039762966,0.27524954,0.0005267747,0.52812207,0.1690919,0.14220624,0.0057610604,0.05511709,0.00076203095,0.9409894,1
31,0.14963272,-0.12540741,0.00323771,0.016036907,-0.13178484,-0.09991664,0.004454152,-0.0021510648,-0.64754105,-0.041175716,0.34090996,-0.12742688,0.09851372,-0.06842435,0.115750134,-0.040970836,0.36543027,0
503,0.08442734,-0.20009837,-0.02720851,-0.0051015536,0.072751306,0.06268147,-0.0020814482,-0.1118759,0.059154827,0.0121407965,-0.39169052,-0.0036229265,-0.12016229,0.028989471,0.000645187,0.03991555,0.3783063,0
549,0.20723476,-0.17823364,-0.06078088,0.028698735,-0.046910502,0.037046462,0.0011193017,0.04767354,-0.42469132,0.025651082,-0.5325394,-0.10197539,-0.07007747,-0.111701645,0.024813961,0.013576066,0.242926,0
231,0.22689149,-0.0734203,0.16268359,-0.0028037587,-0.49660373,-0.05740153,0.022051126,-0.025425225,-0.38555253,-0.05101218,-0.037464622,-0.062228285,-0.11770021,-0.021699464,-0.0715106,-0.030912403,0.2654725,0
457,0.37193513,0.14261796,0.011355744,-0.008539083,0.19633874,0.1201649,0.006924036,-0.0073973364,0.06509894,0.008434646,0.46129906,-0.15761946,-0.0456744,0.09775432,0.0068332367,0.1987072,0.8134562,1
660,0.044617966,-0.128584,-0.1665481,-0.016200297,0.1660754,0.0236613,0.00266296,0.019466192,0.26390785,0.0038920483,-0.14972813,-0.00039803237,-0.10701388,0.05322836,0.031105746,0.00873105,0.51331407,1
234,-0.17013901,-0.09319796,-0.09473146,-0.19629541,-0.5110433,-0.05389133,0.0015038911,-0.027629443,0.1755314,0.029032553,0.38673344,-0.0075680376,-0.09808716,0.11550044,-0.031141572,-0.041259963,0.3515369,1
